policy,episode,seed,success,landing_error_xy_m,landing_x_m,landing_y_m,has_fallen,torso_tilt_deg,reward_sum
baseline,95,2121,True,0.011884864057103125,0.5469178656115972,-0.011478259505153477,False,3.1327293993030985,65.63457997700974
baseline,96,2122,True,0.011360210911150704,0.5471557785739423,-0.01099839972111313,False,3.1258175176633824,65.89713347740728
baseline,97,2123,True,0.011614641302427087,0.5468840129668316,-0.011188856840319818,False,3.1325606048818155,65.76974670397752
baseline,98,2124,True,0.011704901382399083,0.547011876206584,-0.011317059360404043,False,3.129748943934277,65.72465148792128
baseline,99,2125,True,0.011400214227621856,0.5469777604650584,-0.010992313342927756,False,3.1278809410493316,65.87702540312954
ppo_best,0,2026,True,0.007418608645862971,0.5473684301151196,-0.006936180085714552,False,3.1538693179764286,67.76942051754797
ppo_best,1,2027,True,0.007768739471747404,0.547165060710787,-0.0072330098995067186,False,3.1605508522236234,67.59420818855935
ppo_best,2,2028,True,0.0066637743795236615,0.5477661974718362,-0.006278217521427936,False,3.1442569166838323,68.14724137480405
ppo_best,3,2029,True,0.006124548967045741,0.5481925904841607,-0.00585178356501626,False,3.134353186099222,68.41722467012131
ppo_best,4,2030,True,0.007022844212086201,0.5476338257908194,-0.006612228099441303,False,3.148622268553204,67.96774305458602
ppo_best,5,2031,True,0.006723006290966183,0.5476844986003354,-0.006311677024097637,False,3.1449368639925823,68.11745522841349
ppo_best,6,2032,True,0.006413696818161916,0.5479202976206983,-0.0060671529475386414,False,3.138863937454897,68.27247662080588
ppo_best,7,2033,True,0.00775198635319164,0.5472136840596228,-0.007233929492362295,False,3.145824702549451,67.60249352999855
ppo_best,8,2034,True,0.007908391591805267,0.5471095650845366,-0.007361252853204125,False,3.1618912890785387,67.52443071281742
ppo_best,9,2035,True,0.007890220506189167,0.5471165698313473,-0.007344481608581441,False,3.1462018637654388,67.53362689349326
ppo_best,10,2036,True,0.0053664257826189915,0.5484382970502669,-0.005134161039269485,False,3.1433133741256163,68.79631935804548
ppo_best,11,2037,True,0.006164458991301109,0.5481899550093654,-0.005892732115692307,False,3.1361802850570952,68.3971431821889
ppo_best,12,2038,True,0.006592842959919156,0.5478451649145354,-0.006230751483457361,False,3.1421118435384074,68.18287820398078
ppo_best,13,2039,True,0.005669310923720377,0.5481368595574931,-0.0053544181795327096,False,3.144873857082537,68.64461800959414
ppo_best,14,2040,True,0.006608467448003234,0.5479091673294847,-0.006268992004718464,False,3.1432647512962433,68.17512974471234
ppo_best,15,2041,True,0.0062580324695451954,0.5479315169066113,-0.005906297324233438,False,3.1388368576237533,68.35012604410932
ppo_best,16,2042,True,0.006809552629762617,0.5477264538770179,-0.006418800124959482,False,3.1465144144559867,68.07417158896513
ppo_best,17,2043,True,0.006150078229659698,0.5482297860678251,-0.005889805163608385,False,3.1357328674604608,68.40448032514621
ppo_best,18,2044,True,0.006836873769334227,0.5476998824477645,-0.006438346230493371,False,3.1452113494079126,68.06068446578145
ppo_best,19,2045,True,0.00547862276721601,0.5484659343922631,-0.005259462913322642,False,3.142117629291573,68.74024111233
ppo_best,20,2046,True,0.006799033589889303,0.547802568708796,-0.006434139684284151,False,3.1450180943710575,68.07948478106006
ppo_best,21,2047,True,0.0070242531318000095,0.5476811182710893,-0.00663045395029076,False,3.148130892756109,67.9670350958043
ppo_best,22,2048,True,0.005491936410991162,0.548371808607184,-0.005245031775950492,False,3.141230569476905,68.73350857310383
ppo_best,23,2049,True,0.0072062290848594135,0.5475408065361342,-0.006773633082087739,False,3.1527908721540894,67.87557794201535
ppo_best,24,2050,True,0.006146513140880571,0.5480555105012269,-0.005830830505183509,False,3.136461576116109,68.40614421202578
ppo_best,25,2051,True,0.006894871191635921,0.5477574993885509,-0.006520003048841399,False,3.1450225405864956,68.03171739067788
ppo_best,26,2052,True,0.007083175742591254,0.5476268724412935,-0.0066738028282637045,False,3.148034857276462,67.93727872232421
ppo_best,27,2053,True,0.005374692924291185,0.5483464996084396,-0.005114025858903653,False,3.1431932898723995,68.79207408321705
ppo_best,28,2054,True,0.006188925381145357,0.5480257534615736,-0.005865590164586702,False,3.140377168378225,68.38446358839325
ppo_best,29,2055,True,0.005653999117617919,0.5483018927325991,-0.005392971141256396,False,3.1442679073059256,68.65251664941412
ppo_best,30,2056,True,0.0061772865130398855,0.5481705906909278,-0.0059001805263961355,False,3.1366303289878164,68.3907399958152
ppo_best,31,2057,True,0.005758908966932039,0.5483009831083296,-0.005502578858247184,False,3.13233077066721,68.60002781318342
ppo_best,32,2058,True,0.00674021014101274,0.5478171854919309,-0.006376970563549273,False,3.1437093178389697,68.10917568736077
ppo_best,33,2059,True,0.00671170233118892,0.5476868661269529,-0.006300504731198041,False,3.145207842921054,68.1229707284501
ppo_best,34,2060,True,0.005461280766070903,0.5484439387401919,-0.005234907922932395,False,3.1428140312116355,68.74909884455649
ppo_best,35,2061,True,0.007297438129927359,0.5473780540065983,-0.006810139680491321,False,3.1519924919649718,67.83000552003816
ppo_best,36,2062,True,0.006020051278671334,0.5482353934395893,-0.005755621694029899,False,3.1347087541887944,68.46950465293885
ppo_best,37,2063,True,0.007207026850437847,0.5475476154075221,-0.006776949596500527,False,3.1522969221215007,67.87504111260179
ppo_best,38,2064,True,0.0063872227254470944,0.5480118191055716,-0.006069905343207387,False,3.139300724249002,68.28582648487797
ppo_best,39,2065,True,0.006275120808866821,0.5481162620071198,-0.005985705667676368,False,3.1377906906063697,68.34177390881968
ppo_best,40,2066,True,0.00807123500259728,0.5470046857289214,-0.007494860031022853,False,3.1503053076881686,67.44302997864503
ppo_best,41,2067,True,0.00550442353056863,0.5483029172738776,-0.005236276217368063,False,3.1432194944850362,68.72726238881307
ppo_best,42,2068,True,0.0064375907535444196,0.5480283564649061,-0.006128229473562727,False,3.14018169997692,68.26052054491085
