#{"t_start": 1785051204.080035, "env_id": "None"}
r,l,t,success,hoop_xy_error,has_fallen,smoothness_penalty
-58.935123,433,3.182036,False,0.12119827909573032,False,13.859857168243156
-59.542343,434,3.186036,False,0.3228402457535972,False,14.169580349659729
-59.029995,434,3.186036,False,0.07867522752239627,False,17.727515462006462
-57.509567,520,3.498577,True,0.041588737513779735,False,15.23522438757474
-61.254547,419,4.604225,False,0.6593291396693528,False,12.074622696071902
-60.261097,424,4.622743,False,0.28108420640173454,False,12.108191007323384
-60.11364,434,4.654744,False,0.22322121193981215,False,10.283607344642054
-62.36561,436,4.975802,False,0.44069383371443654,False,10.743347612856384
-56.36994,423,6.503155,False,0.21608201565120055,False,0.3223536847893801
-53.28936,431,6.529669,False,0.1866710414751309,False,0.33286108209156573
-56.96943,424,6.595668,False,0.5094209330509696,False,0.30883357119531485
-45.69514,424,7.449981,False,0.22164376701019695,False,13.117089392917368
-51.84065,431,10.939725,False,0.6909628942979752,False,14.052143403992835
-52.32386,431,10.973726,False,0.7148350948587744,False,13.934765041384036
-53.158154,430,11.032837,False,0.8828876150313388,False,13.357287023621453
-59.543976,430,11.888009,False,0.3662107690058246,False,14.445998347924013
-54.54493,432,15.339362,False,1.0748223540983919,False,18.927229972156063
-54.220047,434,15.393361,False,0.8806614921592233,False,18.474950107238687
-54.184605,433,15.443877,False,0.993055735101434,False,18.697481283582313
-52.202442,435,16.40751,False,0.8249920234811353,False,17.644413643773316
