#{"t_start": 1785052232.3328807, "env_id": "None"}
r,l,t,success,crossing_xy_error,touched_backboard,has_fallen,parameter_l2,mean_ctrl_delta
-0.9951538,1,2.859725,False,0.104968541759264,False,False,0.2963253307179367,0.0003257247815366258
9.214976,1,2.860728,True,0.08823122177973203,False,False,0.41663928509490517,0.00032563451843701407
9.937105,1,2.860728,True,0.047172110323211336,False,False,0.3132388040112597,0.00032663419065397423
-1.0451318,1,2.860728,False,0.10902271845861122,False,False,0.38602265947239617,0.0003236055849473658
10.214066,1,2.860728,True,0.03665232750470608,False,False,0.4421287807703751,0.00032662060558078134
10.599224,1,2.860728,True,0.02534090511694752,False,False,0.33709523777715117,0.00032654268293015246
10.233434,1,2.860728,True,0.03604372368089202,False,False,0.3819909140091589,0.0003265090564759823
-1.0238929,1,2.860728,False,0.10717948503201258,False,False,0.41303682635609157,0.00032467611159671525
10.304832,1,4.20984,True,0.03370681079438258,False,False,0.4170113488369038,0.00032779055992142764
10.124788,1,4.20984,True,0.039836306080817965,False,False,0.34637912776358654,0.00032675512841217415
10.23126,1,4.20984,True,0.03618392351948545,False,False,0.2803340107156146,0.00032658361193256167
9.104332,1,4.20984,True,0.0968894734505131,False,False,0.29578020175791103,0.0003259587477848866
9.745045,1,4.20984,True,0.055788267170302226,False,False,0.4270052455402613,0.0003273578404295309
-2.6660817,1,4.20984,False,0.26598558754914436,False,False,0.3254004405737433,0.0003183726935349433
10.2373295,1,4.20984,True,0.03597273842240447,False,False,0.29393896667760916,0.0003270008598568917
10.181455,1,4.20984,True,0.03788218521015321,False,False,0.27395303340262867,0.00032674203955922605
10.112332,1,5.591316,True,0.040325088635659236,False,False,0.2964539026483725,0.00032640133600655383
10.343501,1,5.591316,True,0.032478637394733285,False,False,0.4562847935767181,0.00032607446845474844
10.090582,1,5.591316,True,0.041137198290777714,False,False,0.28150669054082894,0.000326564217276804
9.929506,1,5.591316,True,0.047631926391706436,False,False,0.1476291228529945,0.00032659410126383026
9.262712,1,5.591316,True,0.08480109289709777,False,False,0.3846331880101104,0.000325846538196714
-2.1113763,1,5.591316,False,0.21067765452837664,False,False,0.3191442357026865,0.0003279896065228406
10.290344,1,5.591316,True,0.03425623839886529,False,False,0.27669648688308257,0.00032679119824779735
9.119942,1,5.591316,True,0.09562781513216076,False,False,0.3161002136462019,0.00032609388547854233
10.429043,1,7.081334,True,0.030009916960045412,False,False,0.31870681727630296,0.0003265806387337352
-2.9998317,1,7.081334,False,0.2992227896050344,False,False,0.38484371851104343,0.0003279184930100733
10.345786,1,7.081334,True,0.0325364041715127,False,False,0.24798093128500204,0.00032674658704816284
10.650887,1,7.081334,True,0.023976158591756055,False,False,0.43621610065329697,0.000326237155024727
9.406528,1,7.081334,True,0.07499364927734314,False,False,0.38697428062240696,0.0003262550234363336
10.258963,1,7.081334,True,0.03526204321217373,False,False,0.2903317402457854,0.0003266586447219638
10.355555,1,7.081334,True,0.03220587602889038,False,False,0.29933788794688143,0.00032585625891161694
10.758069,1,7.081334,True,0.02142686099705839,False,False,0.34009061665884277,0.00032689070151866064
10.479479,1,8.61584,True,0.028612410072619495,False,False,0.24932417860534553,0.000326898956907028
10.178891,1,8.61584,True,0.03794281678441677,False,False,0.31473125939385677,0.0003270405071538524
-2.937813,1,8.61584,False,0.29322371262857116,False,False,0.2844857254947579,0.0003278887306025771
9.18244,1,8.61584,True,0.09075873292519177,False,False,0.35299474304457285,0.00032462201967285866
-2.5968456,1,8.61584,False,0.2592864917661114,False,False,0.2166760945564666,0.0003283210148039046
10.58644,1,8.61584,True,0.025691951551721964,False,False,0.3009141214425964,0.00032707368336975655
9.401222,1,8.61584,True,0.07541976870257439,False,False,0.32342705285156065,0.00032657024334089923
10.451076,1,8.61584,True,0.02935064195098683,False,False,0.36383301524948475,0.00032645240899740276
9.628775,1,9.864913,True,0.06191759110981539,False,False,0.2979908516498609,0.0003257681698446236
10.506047,1,9.864913,True,0.027856184892636603,False,False,0.28258443248506876,0.00032652231688741105
10.169827,1,9.864913,True,0.038245720619609305,False,False,0.33286426237782246,0.0003262999426702951
10.176896,1,9.864913,True,0.03788016055235467,False,False,0.5048475418821162,0.00032686544784170867
9.940318,1,9.864913,True,0.04688317631149675,False,False,0.49791293556839944,0.0003266292863270235
10.370984,1,9.864913,True,0.03170088027768815,False,False,0.36057486274597184,0.0003268534724411554
10.777419,1,9.864913,True,0.02095749485558001,False,False,0.37921799081096,0.00032645050669948727
10.25874,1,9.864913,True,0.03529473761024394,False,False,0.2514722454927726,0.0003265935056795097
-3.9669774,1,11.140923,False,0.3961796865584222,False,False,0.25921299739590986,0.000328748697296309
9.703951,1,11.140923,True,0.05778772982022055,False,False,0.47783949240052975,0.0003267324175105817
10.340094,1,11.140923,True,0.03268273902745409,False,False,0.29495134358675135,0.0003268183822334875
10.578458,1,11.140923,True,0.025873714649011982,False,False,0.3526260421704888,0.00032691828929594
-6.527604,1,11.140923,False,0.6519822329148134,False,False,0.3890976653981196,0.00032805010803676885
10.476038,1,11.140923,True,0.028678529575182837,False,False,0.30345948587157257,0.00032718480044823233
10.869934,1,11.140923,True,0.018889888734007695,False,False,0.3354693313069845,0.0003261497849681291
9.360235,1,11.140923,True,0.07814918441086617,False,False,0.30418181219317425,0.0003264371633955674
10.316172,1,12.522664,True,0.033385271591754716,False,False,0.36114692896539086,0.0003273048333602297
-1.9570422,1,12.522664,False,0.19518424932491504,False,False,0.4094087604066499,0.0003281518207645973
-3.202777,1,12.522664,False,0.31955605895995826,False,False,0.3631816756242543,0.0003282188609577434
9.857535,1,12.522664,True,0.050569236183557,False,False,0.37114904515264135,0.0003264704909016684
-2.549959,1,12.522664,False,0.2544214915074413,False,False,0.3079450442104895,0.00032268918301952193
10.516042,1,12.522664,True,0.027523879272147642,False,False,0.38911339177421456,0.0003273492674913986
9.704115,1,12.522664,True,0.057840305776751644,False,False,0.41780901631407424,0.00032637088753664
10.3455715,1,12.522664,True,0.03247182400988047,False,False,0.3638367620846639,0.00032713892158194524
-2.4986055,1,13.74947,False,0.2493765941703773,False,False,0.26652078570569937,0.0003278095639634438
10.34732,1,13.74947,True,0.03246067684437059,False,False,0.2946298942942704,0.00032652039734053543
10.088103,1,13.74947,True,0.041235848493055456,False,False,0.2728165758555962,0.00032755782778876003
10.107911,1,13.74947,True,0.04052032058034079,False,False,0.25073509469092936,0.00032651667263967383
10.608615,1,13.74947,True,0.025083141013835148,False,False,0.3672150689490548,0.00032653614639442544
9.366726,1,13.74947,True,0.07784573048179141,False,False,0.2064658613360038,0.0003266283485222131
9.24392,1,13.74947,True,0.0862346708456296,False,False,0.3311602344660644,0.00032062895957928256
10.738421,1,13.74947,True,0.02191240213697723,False,False,0.2937219235128943,0.0003269526079294575
9.911344,1,14.990841,True,0.048134156963887786,False,False,0.4653089609684495,0.0003264038432116077
-4.3746567,1,14.991839,False,0.43652339973498977,False,False,0.4711936630734615,0.00032810512480301057
9.171708,1,14.991839,True,0.0915557260389801,False,False,0.36381691238334496,0.0003244383041100973
10.309886,1,14.991839,True,0.03364015167057488,False,False,0.26995386880423905,0.0003272861876679015
-1.0870748,1,14.991839,False,0.11286612547473696,False,False,0.24391981893904077,0.0003261627158640726
9.615348,1,14.991839,True,0.06262730045351204,False,False,0.3176821754622402,0.00032511588623167
-1.0226794,1,14.991839,False,0.10735532337987969,False,False,0.2480344708545689,0.0003263063244752757
-2.0959232,1,14.991839,False,0.2092977275138246,False,False,0.24063968326158214,0.00032750595432796096
9.434487,1,16.183095,True,0.07319794657139554,False,False,0.39332235564046697,0.00032613399388042543
10.256604,1,16.183095,True,0.03532394498084057,False,False,0.3137103335323438,0.00032619488793511663
-0.97574866,1,16.183095,False,0.10337338336838396,False,False,0.2887307363885659,0.000322650881347576
10.261657,1,16.183095,True,0.03518797374022779,False,False,0.2689736786415099,0.0003271525055115876
10.411121,1,16.183095,True,0.030594520881413595,False,False,0.21273280514810294,0.0003268038482700104
10.098064,1,16.183095,True,0.040772386687402414,False,False,0.4003198341444926,0.0003263103722949486
9.299463,1,16.184094,True,0.08221926998144412,False,False,0.37007637794851644,0.00032652082549516583
10.205577,1,16.184094,True,0.037055416999311815,False,False,0.27167592397192736,0.0003269138977001264
10.1315365,1,17.361481,True,0.03960123018548594,False,False,0.3350062964881694,0.00032705322923654386
10.445749,1,17.361481,True,0.02955378723460386,False,False,0.27486372260366515,0.00032663386476367256
10.857373,1,17.361481,True,0.019160514642434626,False,False,0.349768482511584,0.0003266491845923901
10.1895275,1,17.361481,True,0.03752696436924654,False,False,0.38489051061581137,0.00032635586723199603
10.069859,1,17.361481,True,0.04193376957787425,False,False,0.2543866737406913,0.0003265538734919594
9.946854,1,17.361481,True,0.04678281379885935,False,False,0.29154781767487825,0.0003270008369055246
10.706134,1,17.361481,True,0.022690374080315063,False,False,0.2859805624299367,0.00032685520819894384
9.535835,1,17.361481,True,0.06715189830349894,False,False,0.2952205392205639,0.00032539622895322794
9.1412945,1,18.576519,True,0.09386221068927846,False,False,0.38148314103997855,0.0003260275249517979
9.876722,1,18.576519,True,0.049659361199984486,False,False,0.43743971094900735,0.00032720668448647805
10.578369,1,18.576519,True,0.025953745602353976,False,False,0.20459153753161155,0.0003270041594814602
9.548717,1,18.576519,True,0.06627937095947718,False,False,0.40211611560610144,0.0003272745196943874
9.2536,1,18.576519,True,0.085380519822391,False,False,0.4372566078658508,0.0003261515202045974
-1.9069903,1,18.576519,False,0.19017233401907363,False,False,0.4399391242386519,0.0003277128034044312
10.258171,1,18.576519,True,0.035301804412524805,False,False,0.2691581727209735,0.00032688775572762104
-3.0182405,1,18.576519,False,0.30132488208901564,False,False,0.25392595254638856,0.0003278564305332496
9.800918,1,19.803846,True,0.053126273838481654,False,False,0.40938721230797603,0.0003252801031946373
10.069539,1,19.803846,True,0.041957928219205076,False,False,0.23836587081733923,0.0003276380817299865
10.226418,1,19.803846,True,0.03630029321343206,False,False,0.34839626505347804,0.0003269330785703453
10.030004,1,19.803846,True,0.043448090684044594,False,False,0.27343062856915407,0.00032638153051721413
10.313247,1,19.803846,True,0.033480518991165054,False,False,0.35561110446950345,0.0003267372205061367
9.5957775,1,19.803846,True,0.06371335092753506,False,False,0.31233551272358917,0.0003267417462946897
9.151185,1,19.803846,True,0.09307183342694879,False,False,0.3989855496289444,0.0003260735123172679
10.096237,1,19.803846,True,0.04091886767345206,False,False,0.29331353073691796,0.0003259797011653439
10.571895,1,20.974027,True,0.026086382329219174,False,False,0.2762699860984917,0.0003266070323829953
10.259128,1,20.974027,True,0.03524696462723877,False,False,0.3051556027189619,0.00032762014962187786
-1.2290332,1,20.974027,False,0.12514683357778225,False,False,0.42106313275404617,0.0003250600087981789
10.429078,1,20.974027,True,0.030014946744967533,False,False,0.3082624980890825,0.00032720906636242924
10.154182,1,20.974027,True,0.03876272442865956,False,False,0.3790923187119264,0.0003271948621678712
-3.3743813,1,20.974027,False,0.3368382767462282,False,False,0.30125225582620035,0.0003283696476830938
10.501534,1,20.974027,True,0.027996231244748235,False,False,0.2541707371665858,0.000326754374409508
9.86323,1,20.974027,True,0.05037414876728041,False,False,0.3048816426488159,0.00032687062860469975
10.160009,1,22.153469,True,0.038491935266960285,False,False,0.4722144623194841,0.0003268237146692505
-1.8478119,1,22.153469,False,0.18476902806922438,False,False,0.21752900473294828,0.00032726743320943925
