policy,episode,seed,success,landing_error_xy_m,landing_x_m,landing_y_m,has_fallen,torso_tilt_deg,reward_sum
baseline,63,2089,True,0.013118006352181166,0.5462493836251855,-0.012570400449661037,False,3.136169597506234,65.01746497129382
baseline,64,2090,True,0.010841838513895882,0.5474328888624745,-0.01053353704930061,False,3.1133762533443705,66.15657520139106
baseline,65,2091,True,0.012094591699819563,0.5461695041218486,-0.011471985430291008,False,3.1339992650311297,65.52936548837395
baseline,66,2092,True,0.011626046817481974,0.5466671227261982,-0.011138083034349225,False,3.131387708783465,65.76395697197496
baseline,67,2093,True,0.010020050520055938,0.5483913397243474,-0.009890077074624363,False,3.0953598685807275,66.56809877075347
baseline,68,2094,True,0.011307344434239953,0.5475063593902414,-0.011028952564223846,False,3.123284840131869,65.92374632187466
baseline,69,2095,True,0.011402060835013187,0.5466720489493017,-0.010905582657038419,False,3.1268430306992445,65.87594432034504
baseline,70,2096,True,0.015147680219101177,0.5434699780430192,-0.013667883130225301,False,3.097604327474193,64.00133480270394
baseline,71,2097,True,0.013014036976674028,0.5462743865940414,-0.012469360977194456,False,3.135614039525446,65.06950300352698
baseline,72,2098,True,0.010915248010518122,0.5475769807256831,-0.010642913920886902,False,3.116074239694136,66.1199191824184
baseline,73,2099,True,0.012920617907276197,0.5459934017956717,-0.012283710267459873,False,3.146464496061646,65.1161609175111
baseline,74,2100,True,0.014895848873149948,0.5446528938074665,-0.01390304891085017,False,3.128700730410608,64.12764582197222
baseline,75,2101,True,0.01186366301751325,0.5468664737758736,-0.01144235612082684,False,3.1384259834584705,65.64522842706737
baseline,76,2102,True,0.010627589996989905,0.5476529603329942,-0.010365185668651612,False,3.112297329543964,66.26383558780115
baseline,77,2103,True,0.012011563883641519,0.5461925810990067,-0.011392156435160112,False,3.1344070643853863,65.57089403111921
baseline,78,2104,True,0.011427090400358018,0.5471385139407989,-0.011063014623101249,False,3.126656662562921,65.86365920606569
baseline,79,2105,True,0.010379616528528757,0.5480617558743827,-0.01019704118795335,False,3.096130570324355,66.38811291670686
baseline,80,2106,True,0.010618800440781347,0.5477943765599824,-0.010387210792218618,False,3.103176936899018,66.2683438134437
baseline,81,2107,True,0.014341519335641961,0.5453206568142775,-0.013556656084920966,False,3.122033916851205,64.40518342625754
baseline,82,2108,True,0.012988099993963487,0.5453292018475983,-0.012119174314808513,False,3.131218336660437,65.08212719464636
baseline,83,2109,True,0.010304817553523854,0.5479855838380085,-0.010106007734893181,False,3.0992046908038153,66.42545963848251
baseline,84,2110,True,0.014438055533449757,0.5443073226823918,-0.013268416354055507,False,3.108509988485371,64.35656415877847
baseline,85,2111,True,0.01129615195587828,0.5467567158716196,-0.010820543289173975,False,3.1215529865909657,65.92905991077853
baseline,86,2112,True,0.011009533042200962,0.5472768323179599,-0.010667435286084782,False,3.1202047506720816,66.07259042987617
baseline,87,2113,True,0.012352277841182232,0.5462051133057475,-0.011754896972902254,False,3.1413506386773657,65.40043646064854
baseline,88,2114,True,0.014385190645150672,0.5453322171341735,-0.01360681862210363,False,3.1250581447523107,64.3833494522772
baseline,89,2115,True,0.010936832824630021,0.547049908051241,-0.010531441958619516,False,3.114508436782022,66.10883811238448
baseline,90,2116,True,0.009971980740778907,0.5484312286256008,-0.009847809719390952,False,3.084465195801677,66.59221436095821
baseline,91,2117,True,0.01097780607176246,0.5475548685316672,-0.010702035238766195,False,3.116468107930376,66.08861166488354
baseline,92,2118,True,0.011655864941944084,0.5468721853742408,-0.011228355320870794,False,3.129324013090417,65.74908576938124
baseline,93,2119,True,0.011052419333333886,0.5468306460988196,-0.010588256181681898,False,3.1173646121072234,66.05093715444943
baseline,94,2120,True,0.01191301270615186,0.5468222421337321,-0.011481364321382186,False,3.1342795149487643,65.62042887068195
baseline,95,2121,True,0.01089942940220905,0.5476390484899148,-0.010640651731015612,False,3.1145266834896135,66.12786363765863
baseline,96,2122,True,0.010168614102191735,0.5482773388235068,-0.010021634159671547,False,3.0914160164038553,66.49376497308597
baseline,97,2123,True,0.010431566863817741,0.5478481515997061,-0.010207209985909607,False,3.1003592641785365,66.3620196631179
baseline,98,2124,True,0.0105146386816972,0.5478970327675488,-0.010302191777766477,False,3.100379377027024,66.32048309270267
baseline,99,2125,True,0.012872007153537025,0.5464708198562696,-0.01237875016606308,False,3.131372539923837,65.14064378502195
ppo_best,0,2026,True,0.008223081209801126,0.5465968475008242,-0.00748582778658027,False,3.153101420624378,67.3656597972743
ppo_best,1,2027,True,0.0073673897926399634,0.5473397393387337,-0.006870330819604998,False,3.1573180378508208,67.79335323271941
ppo_best,2,2028,True,0.0074820542581823905,0.5471750375341584,-0.006928255407313678,False,3.1541222046017823,67.73726257967394
