#{"t_start": 1785051036.9645555, "env_id": "None"}
r,l,t,success,hoop_xy_error,has_fallen,smoothness_penalty
-56.10992,428,9.450302,False,0.21193837745613467,False,0.20759996533115205
-872.3406,432,9.466302,False,1.3435138448972075,False,0.15978453933179085
-574.1456,433,9.470303,False,0.6971056227830228,False,0.09648585047117421
902.12805,520,9.771593,True,0.063186184651715,False,0.14580604401363442
-120.81023,429,10.924687,False,0.2965056377318917,False,0.14496820042470168
-330.71265,437,10.935687,False,0.36144578068019956,False,0.12625211368347375
-320.15756,439,10.956686,False,0.28554225532708427,False,0.17335256132454852
-210.05144,429,11.240935,False,0.197872730521587,False,0.1483980703443286
-174.74916,432,13.118186,False,0.3976308337136155,False,0.003626262109330076
-518.2613,438,13.222713,False,0.17378715620207472,False,0.008318363773975617
-134.30934,434,13.241714,False,0.3472051406366688,False,0.0074708898224021885
-680.99146,432,14.035242,False,1.1580834316201445,False,0.021280295944583694
-835.0518,419,17.416985,False,1.6657740777931187,False,0.029948103786016544
-760.83026,421,17.531168,False,1.5789461586959959,False,0.03255903357369879
-849.55945,419,17.532168,False,1.6758027912213536,False,0.03148093082292124
-751.30865,421,18.373913,False,1.6067514379317822,False,0.030676135435302038
-866.9453,424,21.950159,False,1.6824815565971547,False,0.026709870240432112
-888.03784,423,22.058675,False,1.728836269037489,False,0.03082657028943352
-799.331,424,22.068676,False,1.545890959746712,False,0.027208274501505675
-913.4189,424,22.913989,False,1.6595994099060842,False,0.03216363578199442
