#{"t_start": 1784798019.2291753, "env_id": "None"}
r,l,t,success,landing_error_xy,has_fallen,task2_base_reward,task2_residual_l2
-47.586285,55,8.201995,False,0.21649212590004965,False,3.8701271591524846,1.3432681106018014
-48.71942,55,8.245001,False,0.2187921836713807,False,3.8620067434727052,1.1466691934273345
-64.41549,51,8.366529,False,0.29999058566945325,False,3.702565809504764,1.967633761574728
-64.80687,58,8.381036,False,0.6298978735616846,False,0.3049062394918315,1.4210945500438092
-64.77197,57,8.40403,False,0.45379669344284757,False,0.47454888023818304,2.141222033486779
-36.7112,58,8.411031,False,0.19544474585522098,False,10.910752054786148,2.128718086251684
-64.33302,56,8.415034,False,0.27471623291133324,False,3.7463007675546693,1.6541104118579104
-64.73573,59,8.427031,False,0.45335202943476066,False,0.47531260303036016,2.190189646699618
-64.3821,59,8.43103,False,0.3074255608812765,False,3.6909914857432238,2.086830385400571
-64.67753,56,8.469038,False,0.4043771212645217,False,0.5376153680384361,1.9620356704348212
-59.373627,58,8.598308,False,0.24006892329394602,False,3.8169018648065536,1.679934954306157
-64.76704,54,8.598308,False,0.5344902784507899,False,0.38620890644356076,1.9127175761098179
-64.40832,51,8.614305,False,0.262085541285829,False,3.7746288855854346,2.2780697996186876
-13.213907,51,8.6193,False,0.14821139913977588,False,11.042564887425563,2.4663776174001537
8.226731,55,8.623306,False,0.10569892437561527,False,11.136731237929803,2.0067232951782024
-56.84147,53,8.642305,False,0.23482694303769489,False,3.8323881695252715,2.0137015570182246
-64.78036,58,8.661305,False,0.47846415477885695,False,0.4482453580566574,1.6292587278193482
-64.73613,52,8.677303,False,0.4259572165265282,False,0.5084315921383352,1.9638869227207587
-36.604153,53,8.813327,False,0.19480185385350537,False,10.920233336440901,1.898730938701863
-64.45744,58,8.830328,False,0.288248363562086,False,3.721880426184145,2.009752416704935
-64.491356,55,8.834333,False,0.2895080111622643,False,3.7209754248618516,2.026468932311823
-25.801056,55,8.842327,False,0.17394213260271799,False,10.964280101441426,1.772519513332671
-64.52447,51,8.846327,False,0.38098357760294876,False,3.569830633528861,2.087453577796236
-64.79642,59,8.854326,False,0.6218738354483134,False,0.30970664337007964,1.8602426671537395
-64.3668,55,8.875337,False,0.3010536579474165,False,3.6990993307217597,1.9689130829142183
-51.60449,57,8.897368,False,0.22450561292084226,False,3.8471571219467555,1.483592851155697
-64.74341,53,9.01988,False,0.4948953140741054,False,0.42842734047053393,1.0294795439503661
-64.72029,48,9.01988,False,0.42703941386954125,False,0.5074351051343421,2.156377919409931
-30.051876,52,9.057882,False,0.18196610030032365,False,10.944770428654943,1.8342951096913016
-2.5948462,54,9.07489,False,0.12755422507613856,False,11.087154435035526,1.8467120517048905
-64.45267,59,9.07489,False,0.3356287668047991,False,3.6408303227735614,2.233032365634861
-13.646682,58,9.079416,False,0.14918978387268672,False,11.02017147168217,1.8110966246811702
-38.931076,50,9.08441,False,0.19907976844492117,False,3.9135671447571343,1.5903163151024609
-64.03905,55,9.134405,False,0.2493998651602091,False,3.794616906109351,1.8716023754925952
-64.752594,48,9.501292,False,0.4716845582388922,False,0.45211669467174526,2.1003625704999647
-64.780266,58,9.547288,False,0.5374391899985328,False,0.38524842974312346,1.8512315793402365
