#{"t_start": 1785051517.0651636, "env_id": "None"}
r,l,t,success,hoop_xy_error,has_fallen,smoothness_penalty
10.476962,520,6.419698,True,0.024501323770797907,False,0.0015803059238272516
10.269181,520,6.420697,True,0.03771562359752399,False,0.0028912457735203873
10.327758,520,6.420697,True,0.0215220205594592,False,0.002907435851543087
10.643678,520,6.420697,True,0.031665623629382536,False,0.0008898576234442374
10.773794,520,6.420697,True,0.02567784679132516,False,0.0047349060496970526
10.141883,520,6.420697,True,0.026306227061403904,False,0.0011698828959252963
10.6075945,520,6.420697,True,0.02926606487314584,False,0.002239610737855785
8.622062,520,6.420697,True,0.023205423739714074,False,0.0018314263354259868
10.6048565,520,9.837225,True,0.032074735794232805,False,0.0018735522583576889
10.50114,520,9.837225,True,0.03561580588396068,False,0.005147419759192753
10.379954,520,9.837225,True,0.03793349447455294,False,0.0012907523194059093
10.602291,520,9.837225,True,0.03583584276722188,False,0.0024047292884563044
10.835903,520,9.837225,True,0.022812542918478944,False,0.0018404585910615384
10.538933,520,9.837225,True,0.030941945586841373,False,0.0025857117366890185
10.692475,520,9.837225,True,0.028036438955960384,False,0.0031586493680745764
10.113222,520,9.837225,True,0.02195080889875033,False,0.0037654739580595016
-4.6498666,422,12.902579,False,0.5581438613497579,False,0.015191786762496832
10.791625,520,13.941401,True,0.023181607592640218,False,0.001883006559035252
10.432241,520,13.941401,True,0.05253429119686432,False,0.0032868915150307274
10.75803,520,13.941401,True,0.027995039076284974,False,0.003596725345264265
10.715969,520,13.941401,True,0.02925217844038192,False,0.0014741990753967351
10.753551,520,13.941401,True,0.025576107986042783,False,0.003986225293847591
8.815495,520,13.941401,True,0.036668283706128055,False,0.0013126073411701892
10.684968,520,13.941401,True,0.03831667804447938,False,0.0018466034336066942
-2.7280552,424,16.437657,False,0.18663479181801113,False,0.03203290765988195
8.466226,520,18.481253,True,0.017372257433509997,False,0.0012945172488614109
10.518501,520,18.481253,True,0.03592562676593372,False,0.003192196806924854
10.689527,520,18.481253,True,0.024621771434258873,False,0.0018625887610232354
10.14901,520,18.481253,True,0.05089394441335263,False,0.0014972916027818691
10.571296,520,18.481253,True,0.038412185576467764,False,0.0023687368382787504
10.386646,520,18.481253,True,0.030794564710543353,False,0.0018875482420792921
10.633915,520,18.481253,True,0.03171141912725267,False,0.002416267821690682
-2.9298832,424,20.113616,False,0.26417768898089283,False,0.0027780065029120067
10.897996,520,22.600079,True,0.0211622532731362,False,0.0018257144933408638
10.34793,520,22.600079,True,0.03301183417629232,False,0.0029227627567070696
10.67812,520,22.600079,True,0.032440774562293696,False,0.0014268704293398098
10.67169,520,22.600079,True,0.024555868770611968,False,0.002439415071362967
8.7391615,520,22.600079,True,0.02889120943820285,False,0.0018710939779029978
10.681016,520,22.600079,True,0.032573454053071216,False,0.0020891734646072938
10.479107,520,22.600079,True,0.0480581395296328,False,0.0023155849083906356
10.750953,520,24.344366,True,0.025902487586409218,False,0.002051017284247516
-3.738289,422,25.841182,False,0.38669605330646994,False,0.009860051190864211
10.596075,520,26.872874,True,0.03763377915664049,False,0.0014790747233345862
10.696567,520,26.872874,True,0.02719185706796813,False,0.00226369193099035
10.674142,520,26.872874,True,0.030064836199889356,False,0.0026827337091601526
10.915481,520,26.872874,True,0.020253249701491772,False,0.004008894970630641
10.460455,520,26.872874,True,0.03980227191165463,False,0.000987876450823763
10.852753,520,26.872874,True,0.02316779942954669,False,0.001413465644326769
10.199823,520,47.214335,True,0.040929495913966725,False,0.005132035035879526
10.612387,520,48.589866,True,0.03497916917806083,False,0.001681240254841182
